Review
"Overal Gamenya bintang 5 (Menurut saya) Dari segi grafik sudah sangat smooth dan HD (Tergantung device). Dari segi story, kuro sangat memberikan story yang tidak membosankan,scene yang sangat bagus dan ada banyak quest lainnya untuk dikerjakan. #Saran kalo bisa ditambahkan Subtitle Indonesia"
"developer yang pantas dapat kesetiaan, benar-benar mendengar para player nya. optimisasi gamenya beneran kerasa kalo dibandingin sama pas awal rilis. menurut saya gamenya udah perfect, adventure nya asik, dunianya beneran hidup. gameplay menantang, walaupun ada indikator parry sih (mohon tambahin settingan untuk menghilangkan indikator nya). untuk masalah bug, selama main saya gak pernah kena bug sih. (sedikit ide gila, kalo bisa tambahin boss dari PGR, mungkin Musashi atau yang lain)"
"Update kali ini benar benar absolute cinema, beda jauh sma versi sebelumnya dari segi story, musik, desain char, tempatnya semuanya perfecto. Keep it up kuro games🔥 edit: game ini terlalu berat untuk spek low end, jdi minimal hp ram 8 chip snapdragon/ setara"
"game nya bagus baik dari gamplay, story, grafik dan fitur dalam game, aku kasih bintang 5 karena sangat memuaskan , minus tidak ada bahasa Indonesia yang membuat player kesulitan dalam memahami story dalam game , mohon untuk develop agar menambahkan bahasa Indonesia di updet selanjutnya Terima kasih"
"Secara garis besar, ini adalah game mobile terbaik yang pernah saya mainkan. salah satu hal yg saya suka adalah gameplay combat yang fleksibel, dan ada satu hal yang mengganggu, untuk hasil screenshot in-game tidak dapat ditemukan di manapun, saya khawatir hasil screenshot tersimpan di file data android yang tidak dapat diakses untuk android 12 dan setelahnya sehingga hasil screenshot seperti tidak tersimpan. Masalah ini telah diperbaiki, menunjukkan dedikasi developer yang tinggi untuk pemain."
"gamenya seru, dari segi gameplay, mekanik, sound effect nya jga keren. story yg bagus, menyimpan banyak misteri, ada fitur skip jga untuk mempermudah proses permainan, cocok untuk orang yg lumayan sibuk. Overall game ini sangat bagus. Developernya jga baik, mau mendengarkan masukan player"
"untuk gameplay udh bagus sih yh, story nya juga bagus banget tpi yh gk ada opsi bahasa Indonesia yh bagi orang-orang yang tidak terlalu bisa bahasa Inggris bakalan gk nyaman sih menurut ku yh mw bagaimana lgi untuk dev saranku tambahin bahasa Indonesia dong hehe untuk keseluruhan gameplay nya udh bagus, untuk sekarang blm nemu bug atau hal hal yang kurang mengenakkan saat bermain 😮"
"Game bagus,alur menarik,plot luar biasa,gameplay asik mungkin tambah bahasa agar pemain lebih mengerti soal alur cerita dan tidak perlu mentranslate untuk kedepannya 👍 dan yang paling bagus adalah fan service yang bagus bisa menarik para pemain baru tentu saja absolute cinema 🖐️😫🖐️"
"Semua nya sudah bagus dari story , gerakan nya smooth , ekspresi nya keren , aksi nya membuat kita jadi deg degan , bos nya yang menantang dan jangan lupa tambahkan subtittle indonesia nya agar lebih mudah dipahami orang orang lokal yang ingin bermain game ini , dan makasih developer karena memperbaiki bug di game ini semaksimal mungkin 🙏🙏🙏"
"Game mekaniknya Seru dan Ramah F2P, world design, musik, semuanya memuaskan. Selama main belum pernah menemukan bug yang merugikan. hanya saja game ini Terlalu berat untuk dimainkan di hp mid ke bawah. Yang perlu dipertimbangkan sebelum download gamenya adalah Devices dengan spesifikasi yang tinggi dan jaringan yang stabil agar lancar saat main game ini."
entah kenapa setelah update aku merasakan ada nya frame dan crash yang agak menyebalkan sebelum update itu belum pernah terjadi apa mungkin sekarang wuthering warves di mobile sudah bertambah ukuran full size nya yang tadi 20 GB jadi 40 GB ya tapi tolong di peringan sedikit untuk kenyamanan player dalam bermain game
"(1)Design NPC & ekspresinya wajahnya bagus bgt apalagi Resonator nya, WOW banget, full ekspresif banget. Tidak Seperti sebelah, Ekspresinya di hajar ""DATAR"" semua tuh muka, mulai dari NPC sampai Char Playable nya. (2)Semua Boss, agresif & memliki bermacam-macam serangan. Ini bagus banget battlenya, g monoton. Tidak Seperti sebelah, Boss nya ""SEMUA AFK"" (3)Untuk ""EKPLORASI MAP"", ""SANGAT MUDAH & CEPAT. Di NPC Jinzhou (DI KASIH LOOTMAPPER DI LVL 1). Ini yang paling penting guys!!!!!!"
"gamenya udah bagus dari segi grafiknya aku suka banget, apalagi waktu bertarung cuma ada beberapa kejadian waktu bertarung kadang suka ngecrash sendiri, character nya juga oke banget ada lebih ke ekspresi nya cuma saran tambahin subtitle Indonesian biar enak banget kalau jalanin story jadi nyaman, untuk yang lain udah oke aku suka gamenya 🥰❤️"
"game yang sangat bagus dari segi story,musik,grafik,desain karakter masih banyak lagi,tapi tolong di optimalisasi lagi agar lebih nyaman untuk bermain kadang suka lag atau frame drop gitu dan juga ngerenderingnya lama itu membuat hpku frame drop, mungkin hp aku juga ga kuat tapi semoga aja di optimalisasi lagi Terimakasih banyak"
"Dari awal main sampai sekarang di versi 2.1 , ini game yang awalnya banyak yang tidak stabil, bug, koneksi server yang sering terganggu, sekarang tidak ada lagi, kerja bagus kuro games untuk Pengoptimilasinya, buat kalian yang mau cari game open world ini game rekomended, dari grafis dan grafiknya sangat memanjakan mata, lagu dan pengisi suara karakter enak buat didengerin, desain karakter juga keren-keren dan mantap-mantap, ceritanya bagus, sistem gacha yang sangat ramah untuk pemain f2p. 🙏⚫👾"
"Masalah optimalisasi masih harus di perbaiki, padahal udah setingan low masih juga frem drop. Camera Sensitivitas nya masih kurang smooth. sama pada saat mengerjakan quest ada catscane suara musik dan karakter pada saat berbicara tidak balance, yang satunya kebesaran yang satu nya kurang besar. itu sih setelah kembali bermain wuthering wave seminggu lebih itu yang masih kurang, selebihnya udah okay👌🏻 dan mungkin ini penting nggak penting sih, tolong dong ada kan sub indo nya 🙂"
"keren banget, aku udah pre registrasi dan sangat sesuai ekspetasi. musuhnya juga gak kaleng2 kayak di pgr. tapi untuk pergerakan saya masih merasa kurang mulus dan itu membuat saya kesulitan dalam battle. Edit: untuk developer tolong untuk lebih di perhemat penggunaan RAM pada game ini, karena penggunaan RAM pada Punishing Gray Raven, Honkai Impact, Genshin Impact, atau Honkai Star Rail tidak lah seboros game ini (maaf untuk developer karena telah menyebut game sebelah🙏)"
Sangat memuaskan. Terutama untuk grafik dan desain karakter. Hanya kurang memuaskan untuk peningkatan level karakter yang sangat mahal. Butuh setidaknya 2 minggu (untukku) untuk meningkatkan 1 karakter ke level maksimal. Setidaknya berikanlah peningkatan kepastian jumlah item yang dijatuhkan oleh Echos.
"ya,menurut ku dah bagus dari story grafik tempat tempat nya sudah oke cuman tinggal di bagian peforma game agak di tingkati lagi soal nya saya sudah menggunakan grafik bagian peformance namun masih sesikit lag di waktu tertentu jadi segitu aja semangat kuro game kembangin terus"
"belakang ini saya sering mendapatkan bug di beberapa akun saya itu sangat menggangu terutama pada bug map ""exploration progress menu"" itu sering menghilang dan itu sangat menggangu pengalaman bermain, dan ada salah-satu akun saya juga yang mendapatkan bug tersebut dan walaupun sudah saya report bug tetapi tidak di terima oleh wuwa, tolong untuk bug satu ini untuk lebih di perhatikan lagi karena sangat menggangu explorasi terutama di map, ""rinascita"""
"game epik cuma kebanyakan ngobrol di quest utama. masih pemula tp udah suka ma ni game. minus nya cuma di ngobrol nya bikin auto text aja biar nggk cape tapping berkali2. contoh di besutan game netease Harry porter, JD nggk sibuk tapping terus. sama tombol nya tiap gerakan awal kedepan selalu di awali badan muter dulu, tolong itu di hilangin gerakan yg roll balik arah tiap awal mau gerakan badan heronya. dah tu aja, makasih min."
tolong kasih subtitle bahasa Indonesia kalo bisa sistem renderingnya jangan terlalu berat coba lebih ramah ke hp ram 6 soalnya hampir tiap main fps drop padahal genshin lancar2 aja atau kasih mode pencocokan ke perangkat yg GK kuat grafik bagus2
"Untuk keseluruhan game sudah bagus. Namun dari segi gerakan berjalan, berlari, memanjat masih terlihat kaku dan tampilan visual nya masih terasa mengambang belum lerlihat menyatu seperti game RPG Genshin impace. Semoga developer memperbaiki kukurangan tersebut agar game lebih terasa nyaman untuk di mainkan, dan 60fps yg saya rasakan belum terasa sempurna kalo gerakan dan grafik nya belum di perbaiki. Terimakasih"
"Game ini bener-bener bagus, mulai dari desain karakter, musik yang memanjakan telinga, sampai story. Meskipun pakai settingan terendah karena ponsel gak kuat, tapi tetap enjoy. Saran, permudah event battle untuk pemula, itu aja."
"Sudah bagus, hanya saja kurang di masalah echo nya yang tidak bisa upgrade echo dengan echo yang lain yang memiliki level 0. Jadi terasa sulit untuk mengupgrade echo nya, terjadi force close ketika menyelesaikan atau memulai tantangan echo."
"ini game semakin hari semakin berkembang jadi bagus, saran untuk pengoptimalan performa game tolong di tingkatkan agar tidak frame drop dan untuk anti aliasing tolong jangan dibuat blurr jadi tidak enak bermain jika anti aliasing blurr, semangat kuro!! :)"
Saya merasa update wuthering waves saat ini semakin berat di ponsel padahal ponsel saya cukup memenuhi persyaratan dalam game ini namun entah mengapa setiap melawan bos atau musuh nampaknya jaringan selalu merah.. ini sudah berlangsung cukup lama sedangkan saat coba game lain seperti genshin dan honkai jaringannya baik baik saja bahkan ping berwarna hijau.
"overall gamenya bagus, gerakan karakternya di benerin jadi gaa susah kaya dulu pas awal rilis, tapi masih banyak yang perlu di tambahkan seperti sistem unlink account, bahasa, content n game, dll. masih belum bisa dibilang sebagai genshin killer tapi game ini better dari pada genshin killer sebelumnya semangat buat update kedepannya Kuro"
"Optimalisasi gamenya jauh terasa ringan dibanding versi awalnya. Untuk Event cukup banyak, namun di Event utamanya terlalu lama untuk pemain yg nggk punya banyak waktu. Mungkin subtitle Indonesia ditambahkan juga untuk promosi di pemain Indonesia. Kenapa saya merekomendasikan sub indo karena mulai dari Story, Desaign Character dan Grafik sudah bagus dan kemungkinan player Indo ingin memainkannya tpi terhalang pemahaman sub English masih sedikit kurang. Di ""Trends"" terlihat jelas datanya"
"semakin kesini wuthering waves semakin bagus,tapi ada beberapa hal yang saya gak suka dari wuthering waves ini, terutama dari segi optimalisasi, contohnya setiap teleport itu sering banget ngelag,bahkan sampai ngeframe,saya rasa itu dikarenakan kurangnya kemampuan gamenya untuk me manage memory jadi yang seharusnya saat teleport itu area yang sebelumnya di clear dari memory dan diganti dengan area yang baru,tapi ini tidak, padahal untuk waktu loading sudah cukup lama,"
"dulu awal maen optimalisasi lumayan buruk, tapi semenjak update 2.0 sudah lumayan dari optimalisasi maupun bug agak sedikit mendingan, secara animasi sangat bagus, untuk alur cerita lumayan dan gameplay sangat menarik untuk sekelas game mobile. wajar sih cross platform, hehe. overall memuaskan."
